flight_date,registration,hour,position_count,avg_altitude,min_altitude
2025-02-16,N622FB,5,1278,1672.4765258215962441,0
2025-02-16,N623FB,5,162,1604.4753086419753086,0
2025-02-16,N622FB,23,1272,1702.1619496855345912,0
2025-02-17,N622FB,0,857,1592.7362893815635939,0
2025-02-17,N622FB,2,1205,1720.7053941908713693,0
2025-02-17,N621FB,3,74,1883.4459459459459459,0
2025-02-17,N622FB,3,1042,1673.5604606525911708,0
2025-02-17,N621FB,4,1082,1696.9963031423290203,1450
2025-02-17,N621FB,5,208,1818.2692307692307692,0
2025-02-17,N622FB,5,1369,1980.2227903579254931,0
2025-02-17,N622FB,23,1211,1852.6011560693641618,0
2025-02-18,N622FB,0,475,1887.2105263157894737,0
2025-02-18,N621FB,1,1,0.00000000000000000000,0
2025-02-18,N622FB,1,816,1581.5870098039215686,1325
2025-02-18,N621FB,2,959,1965.9280500521376434,0
2025-02-18,N622FB,2,873,1875.5727376861397480,1500
2025-02-18,N621FB,3,508,2023.2775590551181102,0
2025-02-18,N622FB,3,36,1501.3888888888888889,0
2025-02-18,N623FB,3,357,1830.6722689075630252,0
2025-02-18,N623FB,4,1339,1802.1471247199402539,1550
2025-02-18,N621FB,5,1148,1872.2343205574912892,0
2025-02-18,N623FB,5,239,1965.8995815899581590,0
2025-02-18,N623FB,22,1088,1863.1893382352941176,0
2025-02-18,N623FB,23,1036,1800.4102316602316602,0
2025-02-19,N623FB,2,1279,1810.2619233776387803,0
2025-02-19,N623FB,3,1049,2380.9103908484270734,0
2025-02-19,N624FB,3,500,1807.3500000000000000,0
2025-02-19,N624FB,4,1525,1799.9836065573770492,1475
2025-02-19,N622FB,5,1044,2002.6819923371647510,0
2025-02-19,N624FB,5,418,1638.6961722488038278,0
2025-02-19,N624FB,22,696,1919.0373563218390805,0
2025-02-20,N624FB,1,33,1674.2424242424242424,0
2025-02-20,N624FB,2,1299,1942.8598922247882987,1500
2025-02-20,N623FB,3,758,1830.0461741424802111,0
2025-02-20,N624FB,3,796,1768.2474874371859296,0
2025-02-20,N623FB,4,1544,1700.1943005181347150,1500
2025-02-20,N622FB,5,1415,1798.3215547703180212,0
2025-02-20,N623FB,5,208,1705.0480769230769231,0
2025-02-20,N622FB,23,1424,1941.5730337078651685,0
2025-02-21,N622FB,0,609,2065.0246305418719212,0
2025-02-21,N622FB,1,33,1740.9090909090909091,0
2025-02-21,N622FB,2,1369,1996.1102994886778671,1600
2025-02-21,N622FB,3,1270,1769.0748031496062992,0
2025-02-21,N623FB,3,601,1842.2628951747088186,0
2025-02-21,N623FB,4,1585,1867.3659305993690852,1525
2025-02-21,N623FB,5,260,1805.2884615384615385,0
2025-02-21,N624FB,5,1537,2190.6310995445673390,0
2025-02-22,N621FB,2,1173,1764.6206308610400682,0
2025-02-22,N621FB,3,893,1914.6696528555431131,0
2025-02-22,N623FB,3,651,1851.8433179723502304,0
2025-02-22,N623FB,4,1434,1855.0209205020920502,1525
2025-02-22,N623FB,5,398,1756.2185929648241206,0
2025-02-22,N624FB,5,1392,1887.5000000000000000,0
2025-02-23,N622FB,2,1050,1653.5952380952380952,0
2025-02-23,N622FB,3,1013,1639.5853899308983218,0
2025-02-23,N623FB,3,744,1592.9771505376344086,0
2025-02-23,N623FB,4,1318,1668.7974203338391502,1300
2025-02-23,N623FB,5,438,1748.0593607305936073,0
2025-02-23,N624FB,5,1307,1844.2616679418515685,0
2025-02-23,N624FB,23,119,1690.7563025210084034,0
2025-02-24,N624FB,2,1350,1681.5925925925925926,0
2025-02-24,N624FB,3,918,1699.9183006535947712,0
2025-02-24,N624FB,5,1292,1665.1122291021671827,0
2025-02-24,N622FB,23,1223,1898.8961569910057236,0
2025-02-25,N622FB,0,1245,1781.3654618473895582,0
2025-02-25,N622FB,2,1327,1680.8025621703089676,0
2025-02-25,N622FB,3,986,1819.0669371196754564,0
2025-02-25,N624FB,3,645,1878.7596899224806202,0
2025-02-25,N624FB,4,1408,1775.2130681818181818,1500
2025-02-25,N621FB,5,1186,1836.6568296795952782,0
2025-02-25,N624FB,5,73,1755.1369863013698630,0
2025-02-25,N624FB,23,1353,1805.5801921655580192,0
2025-02-26,N624FB,0,1432,1806.9483240223463687,0
2025-02-26,N624FB,2,1440,1971.5798611111111111,0
2025-02-26,N624FB,3,987,1973.4295845997973658,0
2025-02-26,N624FB,4,7,1096.4285714285714286,0
2025-02-26,N624FB,5,1265,2233.7154150197628458,0
2025-02-26,N622FB,22,92,1997.2826086956521739,1650
2025-02-26,N622FB,23,220,1842.9545454545454545,0
2025-02-26,N624FB,23,1211,1734.9298100743187448,1475
2025-02-27,N622FB,0,344,1850.2180232558139535,0
2025-02-27,N624FB,0,617,1959.5623987034035656,1525
2025-02-27,N622FB,1,180,1872.2222222222222222,0
