hour,registration,unique_flights,position_records,avg_altitude,min_altitude,low_altitude_count,hover_count,total_hover_seconds
2024-09-22 10:00:00+00,N622FB,1,241,2009.0248962655601660,0,4,0,0
2024-09-22 15:00:00+00,N625FB,1,377,2146.6843501326259947,0,8,0,0
2024-09-22 16:00:00+00,N625FB,1,860,2075.4069767441860465,0,6,0,0
2024-09-22 19:00:00+00,N621FB,1,766,1879.1449086161879896,0,15,0,0
2024-09-22 23:00:00+00,N622FB,1,840,2041.4880952380952381,0,8,0,0
2024-09-23 00:00:00+00,N622FB,1,525,2010.5238095238095238,0,5,0,0
2024-09-23 02:00:00+00,N622FB,1,1089,2085.7208448117539027,0,7,0,0
2024-09-23 03:00:00+00,N622FB,2,653,1962.4808575803981623,0,8,0,0
2024-09-23 03:00:00+00,N625FB,1,462,1751.1363636363636364,0,9,0,0
2024-09-23 04:00:00+00,N625FB,1,904,1946.8473451327433628,1575,0,0,0
2024-09-23 05:00:00+00,N622FB,1,999,2006.8318318318318318,0,1,0,0
2024-09-23 05:00:00+00,N625FB,1,13,1275.0000000000000000,0,3,0,0
2024-09-23 06:00:00+00,N622FB,1,652,2135.9279141104294479,0,4,0,0
2024-09-23 06:00:00+00,N625FB,1,422,1817.0616113744075829,0,5,0,0
2024-09-23 07:00:00+00,N622FB,1,3,0.00000000000000000000,0,3,0,0
2024-09-23 07:00:00+00,N625FB,1,845,1840.8284023668639053,1625,0,0,0
2024-09-23 08:00:00+00,N622FB,1,1013,2128.9486673247778875,0,4,0,0
2024-09-23 08:00:00+00,N625FB,1,171,2082.8947368421052632,0,4,0,0
2024-09-23 09:00:00+00,N622FB,1,944,1929.4756355932203390,0,3,0,0
2024-09-23 15:00:00+00,N623FB,1,608,1844.7368421052631579,0,4,0,0
2024-09-23 16:00:00+00,N623FB,1,722,1853.6011080332409972,1525,0,0,0
2024-09-23 18:00:00+00,N623FB,2,321,1682.3208722741433022,0,4,0,0
2024-09-23 19:00:00+00,N623FB,1,466,1886.8562231759656652,0,2,0,0
2024-09-23 19:00:00+00,N624FB,1,177,3126.8361581920903955,0,8,0,0
2024-09-23 20:00:00+00,N624FB,5,516,5015.7461240310077519,0,53,0,0
2024-09-23 21:00:00+00,N624FB,1,308,3352.2727272727272727,0,3,0,0
2024-09-23 22:00:00+00,N622FB,1,838,2161.0381861575178998,0,7,0,0
2024-09-23 23:00:00+00,N622FB,1,1000,2172.5000000000000000,1875,0,0,0
2024-09-24 00:00:00+00,N622FB,1,537,2174.3947858472998138,0,3,0,0
2024-09-24 02:00:00+00,N622FB,1,720,2021.2847222222222222,0,6,0,0
2024-09-24 03:00:00+00,N621FB,1,479,1874.0605427974947808,0,10,0,0
2024-09-24 03:00:00+00,N622FB,1,740,2229.4256756756756757,0,4,0,0
2024-09-24 04:00:00+00,N621FB,1,984,1826.5752032520325203,1550,0,0,0
2024-09-24 05:00:00+00,N621FB,1,248,2191.8346774193548387,1625,0,0,0
2024-09-24 05:00:00+00,N622FB,1,997,2055.2657973921765296,0,7,0,0
2024-09-24 06:00:00+00,N621FB,1,448,2098.7723214285714286,0,1,0,0
2024-09-24 06:00:00+00,N622FB,1,740,2204.1554054054054054,0,3,0,0
2024-09-24 07:00:00+00,N621FB,1,988,1840.7641700404858300,1600,0,0,0
2024-09-24 07:00:00+00,N622FB,1,1,0.00000000000000000000,0,1,0,0
2024-09-24 08:00:00+00,N621FB,1,130,2070.9615384615384615,0,4,0,0
2024-09-24 08:00:00+00,N622FB,1,973,1970.4008221993833505,0,6,0,0
2024-09-24 09:00:00+00,N622FB,1,729,1909.9451303155006859,0,5,0,0
2024-09-24 14:00:00+00,N623FB,1,436,3710.1490825688073394,0,6,0,0
2024-09-24 15:00:00+00,N621FB,1,980,1942.3469387755102041,0,5,0,0
2024-09-24 15:00:00+00,N623FB,1,30,5229.1666666666666667,4825,0,0,0
2024-09-24 16:00:00+00,N621FB,1,78,1965.7051282051282051,1550,0,0,0
2024-09-24 16:00:00+00,N623FB,1,75,4372.6666666666666667,0,14,0,0
2024-09-24 17:00:00+00,N623FB,1,77,1921.1038961038961039,0,3,0,0
2024-09-24 18:00:00+00,N621FB,1,495,2042.3232323232323232,0,1,0,0
2024-09-24 19:00:00+00,N621FB,1,785,1895.8280254777070064,1600,0,0,0
2024-09-24 22:00:00+00,N622FB,1,691,1903.6179450072358900,0,7,0,0
2024-09-24 23:00:00+00,N622FB,1,847,2178.6009445100354191,0,4,0,0
2024-09-25 02:00:00+00,N622FB,1,722,2026.7313019390581717,0,5,0,0
2024-09-25 03:00:00+00,N622FB,1,674,2090.5786350148367953,0,4,0,0
2024-09-25 03:00:00+00,N623FB,1,380,1976.1184210526315789,0,7,0,0
2024-09-25 04:00:00+00,N623FB,1,914,1854.6772428884026258,1650,0,0,0
2024-09-25 05:00:00+00,N622FB,1,980,2041.3265306122448980,0,7,0,0
2024-09-25 05:00:00+00,N623FB,1,70,1981.4285714285714286,1625,0,0,0
2024-09-25 06:00:00+00,N622FB,1,620,2248.1451612903225806,0,3,0,0
2024-09-25 06:00:00+00,N623FB,1,485,1886.3917525773195876,0,1,0,0
2024-09-25 07:00:00+00,N623FB,1,999,1797.5225225225225225,1575,0,0,0
2024-09-25 08:00:00+00,N622FB,1,873,2144.2439862542955326,0,5,0,0
2024-09-25 08:00:00+00,N623FB,1,152,1942.5986842105263158,0,3,0,0
